암유형별(1),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
암유형별(1),계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,기타
계,317988,60519,22661,14418,16994,8447,8540,6516,1820,76733,10117,9763,13608,12442,13209,17709,20589,3903,0
폐암,28557,5059,2053,1429,1460,699,734,544,146,6325,1036,981,1466,1164,1282,1974,1854,350,0
위암,26994,4381,2019,1218,1355,657,773,569,134,6087,880,1046,1422,1143,1173,1813,1992,331,0
간암,17989,2976,1514,745,927,499,400,402,67,3948,703,560,686,710,1000,1120,1458,274,0
대장암,27311,4899,1986,1244,1499,612,741,478,124,6631,1027,923,1261,1090,1042,1638,1727,387,0
유방암,27565,5809,1753,1222,1654,655,800,587,197,7559,749,748,991,884,763,1300,1558,336,0
자궁경부암,3341,565,278,178,193,86,87,66,19,852,91,110,134,117,123,177,210,55,0
입술구강암,4172,824,285,177,234,114,110,85,15,955,144,130,184,173,189,222,267,64,0
식도암,2783,511,255,101,154,47,51,53,16,573,108,108,130,92,146,183,209,46,0
담낭암,2576,434,220,120,120,73,62,52,16,485,91,91,120,132,109,153,256,42,0
담도암,4083,709,313,193,205,83,114,60,12,852,135,141,178,203,159,318,347,61,0
췌장암,7842,1515,598,333,366,217,192,149,35,1714,306,272,338,338,387,483,509,90,0
후두암,1281,203,102,58,75,23,49,26,8,273,51,43,66,44,51,94,84,31,0
소장암,955,168,63,47,61,26,24,28,5,233,32,27,39,42,41,44,62,13,0
뼈및관절연골암,639,115,35,27,42,18,27,10,4,159,22,23,31,17,29,37,39,4,0
피부암,7731,1321,471,343,330,179,201,120,38,1635,309,218,461,414,407,597,556,131,0
중피성연조직암,2475,484,140,120,148,89,78,51,22,588,75,85,108,86,89,123,155,34,0
난소암,3404,657,220,136,205,82,97,68,22,970,104,82,110,115,117,198,185,36,0
전립선암,21496,4580,1356,1041,987,507,575,305,119,4961,691,671,985,871,1007,1272,1259,309,0
신장암,6228,1183,443,302,356,150,170,134,39,1608,189,194,251,196,231,337,367,78,0
신우암,839,172,64,38,55,24,15,12,3,204,26,28,40,31,25,37,55,10,0
요관암,1093,197,86,54,49,31,31,17,6,263,35,30,50,35,56,67,81,5,0
방광암,7914,1573,610,345,469,155,179,94,26,1907,270,250,347,306,346,402,541,93,0
뇌암,2555,445,164,115,143,69,85,63,12,640,66,105,128,99,97,125,171,27,0
비호지킨림프종,5838,1187,388,262,310,130,172,111,26,1430,183,168,241,234,247,340,340,69,0
다발성골수종,2276,445,143,106,110,66,58,42,10,515,81,90,94,80,111,145,146,34,0
백혈병,5387,1051,354,230,298,144,130,127,35,1322,170,177,223,217,222,291,321,75,0
갑상샘암,31995,6091,2606,1643,1798,951,858,888,268,8156,664,736,1152,1197,1257,1439,2039,252,0
etc,72866,14856,4799,3125,3917,2271,1975,1634,450,18511,2145,2075,2828,2758,2884,3449,4388,797,0
